date,time,split,day,notes
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-12,18:00,PPLs,Pull A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,17:45,PPLs,Push A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-17,23:42,PPLs,Pull A,
2026-02-21,23:03,PPLs,Push A,
2026-02-21,23:03,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-24,20:22,PPLs,Push A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-25,17:27,PPLs,Pull A,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
2026-02-26,17:48,PPLs,Legs + Shoulders,
