date,time,split,day,exercise,setNumber,weight,reps,rir,notes
2026-03-20,17:54,PPLs,Pull B,Heavy Seated Cable Row,1,165,10,1,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Heavy Seated Cable Row,2,170,8,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Heavy Seated Cable Row,3,170,6,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Heavy Seated Cable Row,4,165,6,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Lat Pulldown,1,148,9,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Lat Pulldown,2,143,9,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Lat Pulldown,3,133,10,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Wide Grip Cable Row,1,88,13,2,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Wide Grip Cable Row,2,88,12,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Wide Grip Cable Row,3,99,10,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Preacher Curls,1,70,10,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Preacher Curls,2,70,10,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Preacher Curls,3,70,9,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Hammer Curls,1,45,10,1,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Hammer Curls,2,45,8,0,Did hammer before preacher
2026-03-20,17:54,PPLs,Pull B,Hammer Curls,3,45,10,0,Did hammer before preacher
2026-03-23,17:01,PPLs,Push A,Incline Dumbbell Press,1,85,8,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Incline Dumbbell Press,2,80,8,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Incline Dumbbell Press,3,80,8,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Incline Dumbbell Press,4,80,5,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Flat Machine Chest Press,1,160,8,0,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Flat Machine Chest Press,2,160,6,0,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Flat Machine Chest Press,3,140,8,0,[plate_meta p45=1;p35=0;p25=1;p10=0;sled=0] Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Weighted Chest Dips,1,0,10,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-23,17:01,PPLs,Push A,Weighted Chest Dips,2,0,8,0,Dips before chest press. Didn’t have time to do triceps because I’m going to see PHM tonight.
2026-03-24,17:35,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,8,0,
2026-03-24,17:35,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,6,0,
2026-03-24,17:35,PPLs,Pull A,Neutral Grip Pull-Ups,3,60,6,0,
2026-03-24,17:35,PPLs,Pull A,Neutral Grip Pull-Ups,4,80,8,0,
2026-03-24,17:35,PPLs,Pull A,Seated Cable Row,1,153,10,0,
2026-03-24,17:35,PPLs,Pull A,Seated Cable Row,2,143,10,0,
2026-03-24,17:35,PPLs,Pull A,Seated Cable Row,3,131,10,0,
2026-03-24,17:35,PPLs,Pull A,Single Arm Rear Delt Cable Fly,1,22,15,0,
2026-03-24,17:35,PPLs,Pull A,Single Arm Rear Delt Cable Fly,2,22,12,0,
2026-03-24,17:35,PPLs,Pull A,Single Arm Rear Delt Cable Fly,3,16,15,0,
2026-03-24,17:35,PPLs,Pull A,Incline Dumbbell Curl,1,30,11,2,
2026-03-24,17:35,PPLs,Pull A,Incline Dumbbell Curl,2,30,9,0,
2026-03-24,17:35,PPLs,Pull A,Incline Dumbbell Curl,3,30,8,0,
2026-03-26,17:14,PPLs,Push B,Flat Dumbbell Press,1,90,9,0,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Flat Dumbbell Press,2,85,8,0,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Flat Dumbbell Press,3,80,8,0,Started workout testing 1 rep max. I got 235lbs
2026-03-26,17:14,PPLs,Push B,Decline Machine Press,1,172,12,0,[plate_meta p45=1;p35=1;p25=0;p10=0;sled=12] Started workout testing 1 rep max. I got 235lbs
