date,time,split,day,exercise,setNumber,weight,reps,rir,notes
2026-02-12,18:00,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,7,0,
2026-02-12,18:00,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,6,0,
2026-02-12,18:00,PPLs,Pull A,Neutral Grip Pull-Ups,3,0,4,0,
2026-02-12,18:00,PPLs,Pull A,Single Arm Cable Lat Pulldown,1,50,10,2,
2026-02-12,18:00,PPLs,Pull A,Single Arm Cable Lat Pulldown,2,50,10,0,
2026-02-12,18:00,PPLs,Pull A,Single Arm Cable Lat Pulldown,3,50,8,0,
2026-02-12,18:00,PPLs,Pull A,Seated Cable Row,1,120,10,2,
2026-02-12,18:00,PPLs,Pull A,Seated Cable Row,2,120,10,2,
2026-02-12,18:00,PPLs,Pull A,Seated Cable Row,3,120,8,0,
2026-02-12,18:00,PPLs,Pull A,Straight Arm Pulldown,1,50,10,2,
2026-02-12,18:00,PPLs,Pull A,Straight Arm Pulldown,2,50,10,0,
2026-02-12,18:00,PPLs,Pull A,Incline Dumbbell Curl,1,25,12,3,
2026-02-12,18:00,PPLs,Pull A,Incline Dumbbell Curl,2,25,10,0,
2026-02-12,18:00,PPLs,Pull A,Incline Dumbbell Curl,3,20,10,0,
2026-02-17,17:45,PPLs,Push A,Incline Dumbbell Press,1,75,8,2,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Incline Dumbbell Press,2,75,8,1,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Incline Dumbbell Press,3,75,6,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Incline Dumbbell Press,4,70,6,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Flat Machine Chest Press,1,70,8,2,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Flat Machine Chest Press,2,70,7,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Flat Machine Chest Press,3,60,10,2,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Weighted Chest Dips,1,1,10,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Weighted Chest Dips,2,1,9,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Overhead Cable Triceps Extension,1,66,12,1,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Overhead Cable Triceps Extension,2,66,10,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Overhead Cable Triceps Extension,3,66,8,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Pronated Triceps Pushdowns,1,44,10,0,Did dips before machine press
2026-02-17,17:45,PPLs,Push A,Pronated Triceps Pushdowns,2,33,15,2,Did dips before machine press
2026-02-17,23:42,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,8,0,
2026-02-17,23:42,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,5,0,
2026-02-17,23:42,PPLs,Pull A,Neutral Grip Pull-Ups,3,-80,8,0,
2026-02-17,23:42,PPLs,Pull A,Neutral Grip Pull-Ups,4,-100,8,0,
2026-02-17,23:42,PPLs,Pull A,Single Arm Cable Lat Pulldown,1,55,10,0,
2026-02-17,23:42,PPLs,Pull A,Single Arm Cable Lat Pulldown,2,50,10,2,
2026-02-17,23:42,PPLs,Pull A,Single Arm Cable Lat Pulldown,3,50,10,1,
2026-02-17,23:42,PPLs,Pull A,Seated Cable Row,1,131,10,1,
2026-02-17,23:42,PPLs,Pull A,Seated Cable Row,2,131,10,0,
2026-02-17,23:42,PPLs,Pull A,Seated Cable Row,3,131,9,0,
2026-02-17,23:42,PPLs,Pull A,Straight Arm Pulldown,1,50,10,1,
2026-02-17,23:42,PPLs,Pull A,Straight Arm Pulldown,2,50,9,0,
2026-02-17,23:42,PPLs,Pull A,Straight Arm Pulldown,3,44,10,1,
2026-02-17,23:42,PPLs,Pull A,Incline Dumbbell Curl,1,30,10,0,
2026-02-17,23:42,PPLs,Pull A,Incline Dumbbell Curl,2,30,7,0,
2026-02-17,23:42,PPLs,Pull A,Incline Dumbbell Curl,3,30,6,0,
2026-02-21,23:03,PPLs,Push A,Incline Dumbbell Press,1,85,10,2,
2026-02-21,23:03,PPLs,Push A,Incline Dumbbell Press,2,85,10,0,
2026-02-24,20:22,PPLs,Push A,Incline Dumbbell Press,1,85,6,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Incline Dumbbell Press,2,80,8,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Incline Dumbbell Press,3,75,6,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Incline Dumbbell Press,4,75,8,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Flat Machine Chest Press,1,70,9,1,Did dips second
2026-02-24,20:22,PPLs,Push A,Flat Machine Chest Press,2,70,7,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Flat Machine Chest Press,3,60,10,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Weighted Chest Dips,1,1,9,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Weighted Chest Dips,2,1,7,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Overhead Cable Triceps Extension,1,55,12,2,Did dips second
2026-02-24,20:22,PPLs,Push A,Overhead Cable Triceps Extension,2,55,10,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Overhead Cable Triceps Extension,3,55,8,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Pronated Triceps Pushdowns,1,44,11,0,Did dips second
2026-02-24,20:22,PPLs,Push A,Pronated Triceps Pushdowns,2,38.5,9,0,Did dips second
2026-02-25,17:27,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,8,0,
2026-02-25,17:27,PPLs,Pull A,Neutral Grip Pull-Ups,2,0,6,0,
2026-02-25,17:27,PPLs,Pull A,Neutral Grip Pull-Ups,3,-60,8,0,
2026-02-25,17:27,PPLs,Pull A,Neutral Grip Pull-Ups,4,-60,6,0,
2026-02-25,17:27,PPLs,Pull A,Single Arm Cable Lat Pulldown,1,55,8,0,
2026-02-25,17:27,PPLs,Pull A,Single Arm Cable Lat Pulldown,2,50,10,0,
2026-02-25,17:27,PPLs,Pull A,Single Arm Cable Lat Pulldown,3,50,8,0,
2026-02-25,17:27,PPLs,Pull A,Seated Cable Row,1,131,10,1,
2026-02-25,17:27,PPLs,Pull A,Seated Cable Row,2,131,9,0,
2026-02-25,17:27,PPLs,Pull A,Seated Cable Row,3,131,8,1,
2026-02-25,17:27,PPLs,Pull A,Straight Arm Pulldown,1,50,12,2,
2026-02-25,17:27,PPLs,Pull A,Straight Arm Pulldown,2,50,12,0,
2026-02-25,17:27,PPLs,Pull A,Straight Arm Pulldown,3,50,10,0,
2026-02-25,17:27,PPLs,Pull A,Incline Dumbbell Curl,1,30,10,0,
2026-02-25,17:27,PPLs,Pull A,Incline Dumbbell Curl,2,30,7,0,
2026-02-25,17:27,PPLs,Pull A,Incline Dumbbell Curl,3,25,7,0,
2026-02-26,17:48,PPLs,Legs + Shoulders,Leg Press,1,320,10,2,
2026-02-26,17:48,PPLs,Legs + Shoulders,Leg Press,2,320,10,2,
2026-02-26,17:48,PPLs,Legs + Shoulders,Leg Press,3,320,10,1,
2026-02-26,17:48,PPLs,Legs + Shoulders,Hamstring Curl,1,170,10,5,
2026-02-26,17:48,PPLs,Legs + Shoulders,Hamstring Curl,2,180,10,2,
2026-02-26,17:48,PPLs,Legs + Shoulders,Hamstring Curl,3,190,10,2,
2026-02-26,17:48,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,1,55,10,5,
2026-02-26,17:48,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,2,60,10,3,
2026-02-26,17:48,PPLs,Legs + Shoulders,Seated Dumbbell Shoulder Press,3,60,10,1,
2026-02-26,17:48,PPLs,Legs + Shoulders,Cable Rear Delt Fly,1,20,12,1,
2026-02-26,17:48,PPLs,Legs + Shoulders,Cable Rear Delt Fly,2,17,15,0,
2026-02-26,17:48,PPLs,Legs + Shoulders,Cable Rear Delt Fly,3,13,15,0,
2026-02-26,17:48,PPLs,Legs + Shoulders,Cable Rear Delt Fly,4,13,13,0,
2026-03-02,17:29,PPLs,Push A,Incline Dumbbell Press,1,85,7,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Incline Dumbbell Press,2,80,8,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Incline Dumbbell Press,3,75,8,1,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Incline Dumbbell Press,4,75,6,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Weighted Chest Dips,1,0,10,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Weighted Chest Dips,2,0,8,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Overhead Cable Triceps Extension,1,60,10,2,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Overhead Cable Triceps Extension,2,60,8,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Overhead Cable Triceps Extension,3,55,11,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Pronated Triceps Pushdowns,1,44,15,1,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-02,17:29,PPLs,Push A,Pronated Triceps Pushdowns,2,44,10,0,"Did dips second, couldn’t do flat press because it was too busy"
2026-03-03,16:34,PPLs,Pull A,Neutral Grip Pull-Ups,1,0,5,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Neutral Grip Pull-Ups,2,60,7,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Neutral Grip Pull-Ups,3,100,8,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Single Arm Cable Lat Pulldown,1,57,12,2,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Single Arm Cable Lat Pulldown,2,57,10,1,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Single Arm Cable Lat Pulldown,3,57,10,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Seated Cable Row,1,131,10,1,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Seated Cable Row,2,131,7,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Seated Cable Row,3,121,12,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Straight Arm Pulldown,1,53,12,1,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Straight Arm Pulldown,2,50,10,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Straight Arm Pulldown,3,50,10,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Incline Dumbbell Curl,1,30,10,1,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Incline Dumbbell Curl,2,30,6,0,Did single arm pulldown first. Did cable incline 
2026-03-03,16:34,PPLs,Pull A,Incline Dumbbell Curl,3,27,7,0,Did single arm pulldown first. Did cable incline 
2026-03-09,18:28,PPLs,Push A,Incline Dumbbell Press,1,85,8,0,
2026-03-09,18:28,PPLs,Push A,Incline Dumbbell Press,2,80,8,0,
2026-03-09,18:28,PPLs,Push A,Incline Dumbbell Press,3,80,6,0,
2026-03-09,18:28,PPLs,Push A,Incline Dumbbell Press,4,75,8,0,
2026-03-09,18:28,PPLs,Push A,Flat Machine Chest Press,1,70,8,4,
2026-03-09,18:28,PPLs,Push A,Flat Machine Chest Press,2,70,8,2,
2026-03-09,18:28,PPLs,Push A,Flat Machine Chest Press,3,70,8,1,
2026-03-09,18:28,PPLs,Push A,Weighted Chest Dips,1,8,7,0,
2026-03-09,18:28,PPLs,Push A,Weighted Chest Dips,2,0,7,0,
2026-03-09,18:28,PPLs,Push A,Overhead Cable Triceps Extension,1,60,12,1,
2026-03-09,18:28,PPLs,Push A,Overhead Cable Triceps Extension,2,60,12,0,
2026-03-09,18:28,PPLs,Push A,Overhead Cable Triceps Extension,3,60,10,0,
2026-03-09,18:28,PPLs,Push A,Pronated Triceps Pushdowns,1,44,9,0,
2026-03-09,18:28,PPLs,Push A,Pronated Triceps Pushdowns,2,38,15,0,
2026-03-11,17:13,PPLs,Pull B,Heavy Seated Cable Row,1,165,8,1,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Heavy Seated Cable Row,2,165,8,0,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Heavy Seated Cable Row,3,165,6,0,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Heavy Seated Cable Row,4,148,8,0,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Incline Bench Dumbbell Row,1,45,10,0,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Incline Bench Dumbbell Row,2,40,8,2,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Hammer Curls,1,35,12,1,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Hammer Curls,2,35,15,1,Preacher curls was taken so I did cable curls 
2026-03-11,17:13,PPLs,Pull B,Hammer Curls,3,35,12,1,Preacher curls was taken so I did cable curls 
