Day,Exercise,Sets,Rep Range,Alternate 1,Alternate 2,Alternate 3
Push A,Incline Dumbbell Press,4,6-8,Incline BB Bench Press,Incline Machine Press,Smith Machine Incline Press
Push A,Flat Machine Chest Press,3,6-8,DB Bench Press,BB Bench Press,Smith Machine Bench Press
Push A,Weighted Chest Dips,2,6-10,Triceps Pushdowns,,
Push A,Overhead Cable Triceps Extension,3,8-12,Single Arm Tricep Extensions,Duel Cable Extension,
Push A,Pronated Triceps Pushdowns,2,10-15,Triceps Pushdowns,,
Push B,Flat Dumbbell Press,3,6-10,Flat Machine Chest Press,BB Bench Press,Smith Machine Bench Press
Push B,Decline Machine Press,3,8-12,,,
Push B,High to Low Cable Fly,3,10-15,Pec Deck,,
Push B,Overhead Cable Triceps Extension,3,8-12,Single Arm Tricep Extensions,Duel Cable Extension,
Push B,Triceps Pushdowns,3,12-15,Pronated Triceps Pushdowns,Overhead Cable Triceps Extension,
Pull A,Neutral Grip Pull-Ups,4,6-8,Pull Ups,Lat Pulldown,
Pull A,Seated Cable Row,3,8-12,BB Row,Chest Supported Row,DB Row
Pull A,Single Arm Rear Delt Cable Fly,3,12-20,Duel Cable Column rear Dealt Fly,Dumbbell Rear Dealt Fly,
Pull A,Incline Dumbbell Curl,3,8-12,Incline Cable Curls,Cable Curls,
Pull B,Heavy Seated Cable Row,4,6-8,BB Row,Chest Supported Row,DB Row
Pull B,Lat Pulldown,3,8-12,Pull-Ups,,
Pull B,Wide Grip Cable Row,3,8-12,Straight Arm Pulldown,,
Pull B,Preacher Curls,3,6-10,Barbbell Curls,Cable Curls,
Pull B,Hammer Curls,3,8-12,,,
Pull B,Single Arm Rear Delt Cable Fly,3,12-20,Duel Cable Column rear Dealt Fly,Dumbbell Rear Dealt Fly,
Legs + Shoulders,Leg Press,4,6-10,,,
Legs + Shoulders,Romanian Deadlift,4,6-8,,,
Legs + Shoulders,Leg Extension,3,10-15,,,
Legs + Shoulders,Hamstring Curl,3,8-12,,,
Legs + Shoulders,Seated Calf Raise,4,8-15,,,
Legs + Shoulders,Seated Dumbbell Shoulder Press,3,6-10,Standing Overhead Press,,
Legs + Shoulders,Cable Lateral Raises,4,12-20,Dumbbell Lateral Raises,,
Legs,Hack Squat,4,6-10,,,
Legs,Romanian Deadlift,4,6-8,,,
Legs,Leg Extension,3,10-15,,,
Legs,Hamstring Curl,3,8-12,,,
Legs,Seated Calf Raise,4,8-15,,,
Legs,Adductor Machine,3,10-15,,,
